印刷整套流程,"客户有明确需求后的操作流程：

1.要求对方发送本次印刷的文件及相关规格参数和问客户要样本
印刷报价涉及规格参数多，销售人员无法当场给客户计算报价，需要拿到样本或所有规格参数后，由专门的人员计算后再给出报价。

2.规格参数：
1）页数：多少页数都可印刷
注意：骑马钉的P数一定要是4的倍数。（如果客户提供的原稿是18页，可以建议加上2页空白页（例如，加在A3和A4作为2个空白的内页）变成20页，或者删除2页变成16页）
2）封面纸张多为250g， 200g
  单片纸张多为：300g，250g，200g， 157g
  内页纸张多为：157g，128g，105g，128g，80g，70g，其中70g和80g的纸张多用于笔记本内页或页数较多册子的内页
  若不确定该用怎样的纸，请客户提供样本后交由资深销售确认
最常用哑粉纸和铜版纸，另外也有双胶纸和无碳复写纸
   - 铜版纸更亮更光滑，哑粉纸和铜版纸两者价格一样
   - 双胶纸多用于笔记本内页
   - 无碳复写纸多用于三联单等
3) 装订：骑马钉、折页、胶装（无线/穿线）、封套
4) 尺寸规格：
210*297mm（即A4，国外用的多）
210*285mm（国内尺寸，比A4略短）
210*280mm（用得较少）
5) 颜色规格：
双面彩色：4C/4C
双面黑白：1C/1C
单面彩色：4C/0C
一面彩色一面黑白：4C /1C
6) 后道（覆膜、装订方式等）：
覆膜：光膜，哑膜
过油（印油）：光油、哑油
其他后道：局部UV，模切
7) 份数：100份也可以印，但单价会偏高，因为量越大摊到单本的单价越低，印量大性价比高

3.规格参数清晰后，系统登记采购需求由专人核算价格后得到印刷品报价

4. 跟盯客户并达成合同签单
1)  价格贵：
- 了解客户觉得贵的原因
- 之前是否有供应商？这次供应商有几家？了解客户其他供应商的价格，看一下我们是否有利可图，若有利润，则争取签单
2）客户要求先打样
- 可根据客户所印样本的参数提供我们类似印刷的样本，打消客户疑虑
3） 先设计2p
-签订合同后，设计整本样本前就是先设计1-2页，确认好风格以后再继续的
4）客户要求看厂
-   介绍优势，并给客户看大量的我们已印的样本
5）客户要进供应商系统
-  请客户提供进供应商系统的表格填写
6） 客户问完成时间：
印刷完成的时间取决于印刷要求,以及双方印前校对花费的时间,问客户期望完成的时间

5.ERP中输入合同，符合要求后将合同审核同意

6.安排生产部制版，下达准确清晰的要求

7.完成后先给客户PDF文件确认

8.客户确认后安排数码打样

9.与客户确认打样稿，收到客户签字确认的打样稿后，安排印刷大货，写清客户要求的交货时间

10.大货完成送至公司

11.销售验货

12.销售联系客户发货时间

13.客户户当场签收

14.开票付款"
笔译整套流程,"1.要求对方发送需翻译的文件给我们报价,问清客户翻译的特殊要求,以及要求达到的质量
2.了解过去情况
3.查系统合作历史：单价等
4.探价：首次合作需口头了解是否有供应商，单价，否则永远有人比你价格低
5.报价：不仅报价，还需同时给合作历史、案例、优势，控制期望值（千万不能仅仅报价），建议先口头报价，再基本确认后再正式报价
6.安排订单:下单5大要素要写清,若客户有提供参考稿需上传并写明具体参考哪些方面
7.如何查看订单的进行情况，发现问题
8.交货时：出稿检查看什么？特别是新客户，本人要关注什么
9.试翻的稿件：本人、带教、叶总是否都看过，销助是否确认整个流程
10.出稿后及时跟进：问什么，答应什么
11.收款：预付款，尾款
12.计较的客户大稿子分批出
13.内部退改,外部投诉的流程"
同传整套流程,"1.关于本次需求：
会议时间、会议时长、线上/线下、多少人、场合、地点、会议主题什么专业（医药）、语种

2.纯线上会议，软件区别和用途
Teams
Zoom
是否有直播

3.纯线下或线上+线下会议
设备是谁提供，标配？
现场网络如何保证，有哪些选项
什么时候用声卡、什么时候用扩展器

2.关于本次场地
会议室、展馆、酒店，现场电源，
大场地：什么场地必需保证收音质量
场地的走线
什么情况增加辐射板
辐射板的支架多高，放支架还是吊起来，分别有哪些问题

3.以前情况：
以前用过么，以前如何解决，供应商情况、谁决策、人员谁提供

4.彩排
什么时候进场
彩排怎么配合
与各供应商之间的协调

5.口译人选
是否可以面试？电话面试
给别人的简历一般几页，提供几个人
相关行业经验（医药）

7.效果
翻译间放在哪个位置好，能看到屏幕还是看不到
翻译间有几种规格，常规用哪种，收费的区别
会议中间效果不好怎么办
彩排和实际会议时有偏差什么原因
何时与客户确认效果

8.耳机收发
耳机有几种，目前经常用的耳机
耳机遗失收费
如何保证耳机不遗失
人多时耳机的发放和收取，收取时是否有人协助或自己收
客户需增加耳机数量怎么办
预先提醒是否需备用耳机，收费

9.推其他配套服务
整个会议现场音响谁提供、屏幕搭建、灯光搭建、展板展架、活动几天、速记（英文速记）、摄像、摄影

10.给案例、给专业知识"
我们公司和哪些领事馆合作？,还有美国、加拿大、英国等国驻沪的领事馆和商会
公司何时成立的,我们公司是1997年成立的
用一句话介绍下公司的主营业务,主要是为外资企业提供资料翻译和样本印刷、同传、多媒体译制、网站汉化、商务礼品、展台搭建等服务
用一句话介绍我们第一,我们目前是上海规模最大、市场份额第一的本地化公司
介绍我们做过的客户和可提供的业务,"1）大多数客户是500强外企，并且与我们长期稳定合作，像3M、拜耳、阿尔斯通、住友等，很多公司和我们合作20余年了
2）最初我们是从翻译开始与各大外企的市场部开展合作，逐步扩大到印刷、视频译制，还有很多高端会议的交传、同传口译服务等，合作的业务越来越多"
用一句介绍我们的质量和速度,客户选择我们，就是因为我们能在质量上满足他们的要求，另外交稿速度也非常快
用一句话介绍技术资料的翻译是我们最擅长的,其实我们公司最擅长的领域包括各种技术资料的翻译，主要由于我们源自百年历史的上海交通大学，技术类资料的翻译是我们的独特优势
用一句话介绍我们的ERP系统,"1）04年开始我们公司就自主研发并上线了ERP管理系统，20年多来，技术层面始终是行业里是先进的
2）现在系统里已经累积了包含几十亿条句对的句库资源和300+万条以上的专业术语"
用一句话介绍我们的译员团队,我们有非常强的译员团队，尤其是贵公司所在的这个行业，我们的译员团队是非常专业的
介绍下公司的精细化管理,我们的ERP系统，帮助我们实现全流程的精细化品质管理
用一句话介绍我们公司的管理层,"我们的高层管理都是交大毕业的，博士和留美MBA专业人士，共有专职员工100多名,其中30名是资深专业翻译人员。在公司规模、管理经验、质量控制体系上都是行业内领先的"
介绍下公司的办公地点,"办公地点位于徐家汇核心商圈的5A涉外商务楼。欢迎您随时来我们公司参观,可以直接感受一下我们与其他同类公司的不同之处。我们的电话是54896060"
我们合作的5星酒店有哪些？,我们与金茂君悦、香格里拉等众多四五星级酒店都有长期合作关系
提出面访，为下句介绍做铺垫,"<推其他业务>我们合作很多年了，之前一直是<翻译/**>业务偏多，但我们一直还有<口译/**>业务,这方面你在日常工作中会遇到吗?"
介绍第一、全业务、和客户的同行的案例介绍，问有需求的部门,"我们公司成立快三十年了，目前也是华东地区市场规模第一的综合性翻译印刷服务一体化公司，我也是刚接手你们公司嘛，也很想再跟你们再建立合作
我们和<客户所在行业>的<竞品公司名>的<产品>都是我们为他们提供服务的，我也很好奇怎么和你们这边就没有合作了，你在<客户公司名>也很多年了（**行业）资历很深了，帮忙推荐看看是哪个部门/产品线有可能有翻译、印刷、同传口译的需求呢"
问印刷、展会的负责同事,"那你们的市场宣传平时会以什么形式为主呢?
像我们很多外企客户,如果参加展会的话,展台搭建,印刷,小礼品,易拉宝这些物料也是我们很擅长的.还有些客户会走数字渠道,我们也可以提供设计,制版这类的工作,做好的产品册客户可以放在网上给人家下载,或是通过邮件进行宣传
这块是哪位同事在负责？"
客户拒绝后再次提问是哪位负责的,"您在**公司那么多年了，资深老员工了，你一定知道的，帮帮忙告诉下是哪位负责的，您放心我不会透露是您说的
<以反问的形式>是***吗?"
介绍公司合作历史，报合作过的部门和人，挖现在负责的部门和人,"报系统中业绩排名前5的部门、联系人+系统中合作过的案例+问现在有需求的部门、负责人
之前和您公司XX部、YY部、ZZ部我们也合作很多的，做过XX、XX、XX这些服务，以前是市场部XX和我们对接的，还是他负责吗？还是其他同事负责？"
确认电话沟通的联系人的邮箱，提出推荐请求,另外想问下，你邮箱还是之前的这个吗？我给您发一个邮件做个备份，如果今后有同事，尤其是些新同事，我看系统里新同事好像比较多，如果有问起来，麻烦您也可以帮我们做个推荐吧。因为你比较资深，我想他们很可能会经常问到您这里。好的，那我给您发个邮件过去，如果有同事问到的话，可以帮忙转发下，包括微信推起来也是比较方便的，你看可以吧？
束语感谢,"1）您的手机号是您微信号吗，我用企业微信发个邀请给您，您可以通过一下，以后万一需要时可以找到我们
2）您的邮箱还是……，我可以将公司最新的资料发给您，您有时间可以看一下，如果同事或朋友有需要的话，拜托也帮忙推荐一下，谢谢啦"
嗯（推本人全业务）,"公式：专为外企提供服务20多年+外企公司名+翻译、印刷、同传口译、视频配字幕

话术示例：很多外企我们合作了20多年了，比如德国的巴斯夫、科思创、美国的3M公司我看到我们好像之前合作的翻译比较多，其实我们公司除了专业提供翻译，像样本的印刷，视频资料的听写翻译配音配字幕，我们都做的非常多的"
嗯（推本人同传业务）,"公式：外企公司名+使用场合+数据（服务多少次/参加人数）

话术示例：很多外企都会开Town hall（员工大会）都会用到同传服务，我们不仅可以提供同传服务也提供同传设备，我们连续为BD的员工大会提供同传服务5年了，最多一次有4000人参加 "
嗯（推本人印刷业务）,"公式：外企公司名+应用背景+册数/种类

话术示例：很多外企，像东芝三菱、英威达的莱卡、欧莱雅、3M他们公司在展会上使用的样本也都是我们印刷的，我们为英国斯派莎克印刷了超50万册的资料，包括笔记本、产品样本、手册"
嗯（推本人视频业务）,"公式：公司名+应用背景+视频时长/种类

话术示例：每年为3M公司的大量新产品推广视频提供听写、翻译和配字幕服务，涵盖产品宣传、使用说明及维护保养等内容。从几分钟的短视频到数百分钟的讲座视频"
客户推荐后表示感谢,我们现在也推出了对公的企业微信，我能方便加一个吗？因为我们上面会定期推送一些最近做的比较热门的案例，你也可以做个了解，备份一下，万一今后你有项目有涉及这一块，也可以联系我们吧。
客户表示已经离职，确认是否还在原来行业,您还在这个行业吗？ 
客户已离职，还在原来行业，问新公司是哪家,您在这个行业也是老资历了，也非常感谢您的关照，我们现在是上海规模最大的一体化公司，除了以前跟你合作的笔译，我们还能提供同传口译、设计、印刷和视频配音配字幕服务，这些我们都做的非常棒的，您们<客户所在行业>的<竞品公司名>我们都是长期供应商，您现在在哪家公司高就？说不定我们也在合作的
客户已离职，不在原行业，问现在行业和公司名是哪家,您在哪个行业啊？我们做的行业也非常多，金融、机械、建筑、法律的很多外企都是我们长期客户，说不定我们和你现在的公司也正在合作，您在哪家公司高就呢?
电话号码换联系人，问部门、人名，要联系方式,你怎么称呼呢？我们和原来的**一直有合作的，你现在还是**部门吗？介绍全业务，要邮箱，加微信
联系人已退休，问他们在职时的采购/市场负责人,恭喜呀！可以好好放松了！非常感谢您之前关照我们，本来还想下周来拜访您的，还蛮遗憾的，今天有缘正好联系到您，我也是刚接手我们公司，想着能跟你老东家有更多合作，跟您打听下你们**市场/采购是哪位在负责呢？
已有供应商,这个很正常的。因为如果涉及到这一块，肯定也一直有自己合作的供应商的。那我其实接触过很多的外资企业，他们基本上也会选择，比如说2到3家这样同时去用，也是按照擅长不同来做区分的。那我也是想作为一家新的供应商，看看机会。你也可以比较一下。
客户说有需要会再联系我们,一般来说你们什么情况下会有这方面的需求呢？马上年底了，我们很多客户会有笔记本台历，年会这方面的安排，这里面我们也可以做很多工作的，你们有类似的需要吗？
近2个月没有这方面的需求,最近半年有做过翻译吗？哪个部门做的最多？关于什么方面的？现在采购流程是怎样的？是一定要通过你们还是部门内自己决定的
陌生联系人给什么,报公司画像上显示的客户公司竞品公司的的产品线、报和这个公司合作过的部门名称
那个部门我也不清楚，你找原来的部门负责人,我看你在公司好多年了，肯定比我们要熟多了，现在我刚接手贵公司，我们以前有好多合作的，我发现现在你们有好多人都已经离职了，能帮忙帮我看看我们以前合作最多的A、B、C3个部门，您帮忙看看我现在翻译或印刷方面的需求，找哪个部门的哪位同事最合适？
我还是不清楚,"一般你们现在市场部是谁？他们一定有需求的
负责这块的采购是哪位？他们一定会用到的"
这件事你可以找谁,"非常感谢您的推荐，你们现在人员变动蛮大的，人真的很难找，非常感谢您
据您所知，我们这块业务她主要负责什么方面？什么场合下你们会用到翻译或者印刷？
冒昧问一下，量大概有多少？多久会有一次？
您帮忙查下直线电话是多少？你们总机很难打通的，或者她分机是多少？
您能查到她的邮箱是多少吗？我先给他发个邮件，这样不会太冒昧"
需要确认KP的基本信息,"1.问清男/女，部门名、中文名、英文名、联系电话
2.需求情况"
一旦客户有问到具体的业务,"1. 先问将来（未来6个月内）：这块我们做的很多的呀，据您所知大概什么时候会有这方面的需求呢？量大概是多少？冒昧问下，这件事是您负责吗？
2. 若将来无需求，再问过去：过去半年内您有遇到过此类需求吗？我们这个也做很多的，很可惜联系您晚了，上次您是怎么解决的？冒昧问下大概做了多少量呢？"
客户让我们直接联系采购部,"谢谢呀,不知道采购部我应该联系哪一位呢?因为之前一直为您这里提供翻译服务的嘛,也想再为您提供印刷这种一条龙的服务,您可以帮我介绍一位吗?采购那里负责筛选供应商的是哪一位呀?告诉我分机就可以.<可进一步询问贵姓,先生还是小姐>"
了解客户翻译需求最多的部门,一般你公司这里，平时翻译最多的比较集中在哪些部门呢？我发送介绍的时候可以有针对性的进行介绍。
客户问到我们与交大的关系,我们有很强的交大背景，我们不隶属于交大。97年我们刚刚成立的时候办公就在交大里面，管理层和资深校译老师都是交大的博士和教授。随着公司规模越来越大，后来独立出来搬到徐家汇了。但很多老客户会一直叫我们交大事必达。
确认供应商外包方式,不知道像你们公司，如果涉及到翻译的话，是你们自己去找供应商，还是说统一会有一个部门（见备注）去安排。是不是也方便我可以跟他联系沟通了解一下
客户表示需求都自己解决了,这也很正常，现在各个公司都在控制成本。肯定有一部分自己内部也是都可以去做，但如果涉及到的量比较大的，是不是有需要？或者是一些非常规的需求，像小语种呀，法律文件之类的东西
面向客户介绍笔译和口译服务语种,几乎所有语种
客户询问保密性，如何回复？,"1) 关于保密性，对于我们公司来说，不存在问题，因为首先，我们有很多客户，他们都需要我们确保保密性的，我们经常和客户同时签订长期协议以及保密协议。
2) 我们内部采用ERP系统管理，每人都会有自己的和用户名和密码以及一个不同的权限号，这样就不能登录到其他同事的电脑上，所以每个人能看到的东西是有权限限制的。
3) 重要的稿件，我们会用专职翻译来做，其实不管是专职或是兼职翻译，我们所有的员工都会签订保密协议，所以这一点您完全可以放心
4) 我们95%以上的客户都是外企客户，70%及以上都是长期客户，对保密性这块，我们公司20多年没有出过这方面的问题。
5) 若客户还是不放心，我们可以签保密协议，然后开始合作。"
客户说你们不是做翻译的，怎么还做印刷呢，如何回答,最早我们是跟市场部合作的，从翻译开始，逐步扩大到印刷、视频译制的合作，包括近期合作的会议的交传、同传口译，这样合作的业务就越来越多，我们也提供更多的一些专业服务
曾经有合作过台历和笔记本，再开发其他业务的话术,"因为之前我们有过合作，,就是给贵公司做过台历的印刷,还有比笔记本印刷、无纺布袋的印刷。
现在，其他的一些业务尚未开展合作,例如，展会用的这类样本的印刷,不知道这块的业务，大概是哪位同事在负责呀?"
如何用一句话介绍我们公司是做什么的且表达我们是最好的,客户需要的不仅仅是一家翻译、印刷服务一体化公司，更是需要质量最好的、性价比高的公司
客户的供应商系统由采购部负责的，采购额超过七位数才可以进入供应商系统，这种情况如何做及话术,"联系到采购部的人员，提议从小单合作，可以先感受一下我们的质量和速度。

话术：您这个7位数的范围，是指翻译这种专业服务的标的吗？
<如,是>那看来我要把您公司做为特别重点的客户好好服务,您看能不能从小单子开始合作,或是给我们一个试译的机会呢,我相信贵方系统里现有的供应商，也是从小单慢慢合作起来的，也不会一开始就合作大金额的项目.您看接下来大概什么时候会有相关的需求,我可以再提前和您联系下.
<如,不是>听起来您指是那种原材料采购吧,那一般翻译,印刷这类间接采购,你们是怎么操作的呀?是需求部门直接联系还是也是您统一负责呀?"
开发市场部联系人该如何说？,我们合作最多的部门主要就是市场部，我们可以根据市场部平时推广的需求提供各种服务。例如开展会的时候，需要的展会搭建、样册印刷、商务礼品等。有些专业领域推广的时候开研讨会，我们可以做视频，做口译。
如何询问客户的过去？,"麻烦问下最近半年您有没有安排过印刷或者翻译方面的工作？或,上次安排印刷或者翻译方面的工作是什么时候呀?

<如,有>当时是怎么解决的呀?用下来的质量和速度您这里还满意吗"
电话开发时，客户说已经有和我们的销售联系了,"1）非常感谢您一直以来的支持，您最近与我们公司的哪位同事联系的？
2）主要是有段时间没合作了，今天来电想看看近期是否有合作的机会
3）最近半年，与我们这位销售合作过什么业务呀？多久之前做的？"
不工作/退休/在家,"你好,难怪一直没能联系上您，不知您离开多久了？

若离开不久问接替者，若离开很久则放弃

1）问接替者：
您肯定对原公司的情况比较了解,那据您所知,现在是哪位同事接替您的工作，
或者据您所知，原来公司一般哪个部门可能有翻译、印刷方面的需求呀?
那个部门可能是谁负责我们这块方面的业务联系

2）请求推荐：能麻烦推荐一位还在那儿工作的同事给我吗?方便的时候，我会去联系一下"
如何询问已离职联系人的目前是否有需要,虽然我知道你离开这家公司了，但好像我听到我同事说起过，你这边也在负责市场这块的工作。不知道现在的公司是否有机会用到翻译，或者宣传册印刷之类的服务？
问其在哪家公司，现在的需求,"1）您现在哪里高就呀？还在原来的行业吗？
2）问需求：请问您现在工作中遇到翻译、印刷、视频译制的需求，是如何解决的？"
客户着急挂电话，如何回答？,"1）不好意思,知道您忙,耽误您一两分钟可以吗?
2）您先忙,我给您先发个邮件,等您忙好抽时间看下
3）可以先加个微信吗?方面您空闲时联系
4）我什么时间方面再联系您呢?
5）好的,您先忙,我过会再联系您"
和介绍人合作时间久，以后合作了会告知,"1）是我一个朋友介绍的，和我们合作10多年了，关系蛮好的，他说您可能也有这方面的需求
或 是你们其他同事推荐的，说您可能有这方面的需求
2）现在不好意思说，以后若我们合作成功了，一定告诉您"
人不在,"1）哦，她不在呀。他大概何时会在？

2）是这样的，我们之前是跟他一直联系的，我们公司主要是为外资企业提供翻译和样本印刷服务的。尤其在翻译行业,我们是上海排名第1的专业公司,你们行业的绝大多数公司都是我们的客户，今天主要是做客户回访，看看近期有没有合作的机会

3）找新人：您贵姓，您是否可以给我留个您的邮箱,我将我们公司的介绍也发一份给您,您可以做个备份,如果您有任何需要可以随时与我联系

4）确认原来的人：据您所知，他最近会需要翻译或印刷方面的服务吗"
客户回复没有需求，如何回答？,"是啊，我知道您平时可能会有这方面的需要，也可能会有固定的供应商嘛。
所以不知道有没有可能，我发一些我们的案例，您有时间的话，可以看一下吗？"
老客户再开发,"1)非常感谢您对我们的支持和肯定。
2)请问您对我们的服务是否满意？
3)近期的需求情况如何？
4)我们合作了很久了，现在我们已经有专门的翻译团队来为你们服务，针对你们公司也有相应的词汇清单，相信能为你们提供更好的服务。
5)再次感谢，希望今后继续合作"
请客户推荐其他部门,能不能帮忙指点一下，还有哪个部门我们可能合作少一点的，我可以去努力沟通一下下的呀
电话中如何问客户要人,"1）那不知道据您所知，像我们XX公司这边，因为我们合作的业务部门也比较多，也想因为您在可能比我更了解公司的内部情况吧，不知道是哪个业务部门，可能像这方面的需求会多一些
2）之前我们沟通的***还有在职吗？哦，离职了，那你看我和哪位联系会比较方便一些"
电话中如何提问来了解客户的需求,"1）据您所知,您公司哪些部门会有翻译、印刷或者多媒体译制这方面的需求呀?
2）我们和很多外企的市场部都合作的,据您所知,您公司市场部哪个同事负责翻译、印刷或者多媒体译制这方面工作呀?"
问客户要项目的话术,"1）你们人员有变动，同时我们人员也有变动，所以中间有段时间的确是断了联系，现在我们**公司由我负责，也想和你这边沟通看看我们最近的需求，看是否能再为你提供服务
2）我最近没有找我们，我不知道就是是因为之前，比如说现在有什么问题啊，他大概怎样的一个原因呢？"
用一句话让客户放心,您放心，我们非常有经验的！
客户公司更换销售代表，客户询问原销售是否离职，如何回答,"1）非常感谢您的推荐,XXX没有离职哈
2）我们与贵公司续签了长期协议,为了更好为您提供服务,特意增派了销售
3）后面都是我负责,您直接联系我就好了
4）XX还在职的，在其他的项目上，后续我这边为您提供服务"
询问负责人,"嗯，因为在这块其实我们也是非常有经验的嘛。
在上海我们这块也是做了二十多年，是一直为外资企业有提供这方面的一个工作。
包括的话从制作啊到印刷到最后的一个物流送货。
那我不知道市场这一块的话，现在嗯是哪位同事在负责呀？"
客户问你们公司叫什么？,"1.交大事必达,客户习惯叫我们SPEED
2.公司正式名“上海嘉赛....”如果在信息库中登记的会是这个名字
2.我们源自交大,管理层和资深的翻译有很多都是交大的,随着公司规模的越来越大,独立出来了"
我们的客户中，外企占比是多少？,95%以上
您先忙,"那您先忙,我下午或明天上午再打电话给您吧!"
感谢,很高兴您还记得我们，有段时间没联系了
表示抱歉,"不好意思,给您添麻烦了,再见"
客户有供应商，如何首先表示我们是第一的,"那我电话打的真是时候!我们主要是为外资企业提供翻译和样本印刷服务的。尤其在翻译行业,我们是上海排名第1的专业公司,你们行业的绝大多数公司都是我们的客户呢"
客户有供应商，客户对现有的供应商哪不满意,您现在的供应商您觉得哪方面您不满意呀?
客户有供应商，表示我们在这方面服务好,这方面我们肯定是不错的
问已有供应商满意情况？,"1）满意吗：那您觉得他们的服务您满意吗？你觉得他们的质量目前稳定吗？
2）最好：我们也有客户原来是找其他公司做的，但是后来还是跟我们签了长期协议，因为我们有非常多的行业经验，能够提供最快最好的服务
3）质量：而且我们是上海唯一一家使用ERP流程化质量管理的公司，能够确保翻译和印刷质量"
多家供应商的好处,"1）正常：而且一家公司有2家甚至3家都很正常，不同的部门有不同的需求
2）性价比好：我们不管是质量还是速度，肯定是比其他供应商性价比高，而且我们合作的都是知名的大公司
3）客户证明：我相信这么多客户肯定也试过很多家供应商，觉得我们还不错，所以才长期合作的
4）有比较好：多1个供应商其实对您才是最好的。这样您可以有比较，选择质量好交稿及时的
5）紧急时好：遇到项目时间特别紧急的时候，一家来不及，临时找1家对您资料不熟悉，质量不一定能达到你的要求的
6）一体化好：而且我们还能提供从翻译到印刷一体化的服务，视频译制也是我们擅长的，增加我们1家供应商可以解决您很多需求的
7）500强：我们服务的也都世界500强的外企，他们也会有多个供应商
8）保证及时：因为我们质量保证交稿及时，所以客户一般都选择我们会更多一些"
客户回复有供应商，但对现有供应商不满意时，如何回复,"哦，对现在的供应商不是很满意是吗？不知道您觉得他们哪方面需要改进呢？是质量方面还是服务方面？

*（若客户说是质量不满意）那我们公司的质量您是可以完全放心的。
*（若客户说是服务质量差）我们公司绝对不会出现这种情况，因为我们会有一名客服代表全程跟踪整个生产过程，并随时向您汇报生产进程。如果您有任何要求，可随时与我们的销售联系。（再介绍我们公司的优势）"
如何介绍我们服务内容全,多产品：除了专业的翻译服务外，而且我们还能提供从设计、印刷和视频配音配字幕服务，可以为您解决很多需求的
客户表示已有八家供应商在合作了，如何回复？,"强点第一、我们是最好的
1）这个没有关系呀，因为我们公司是上海规模最大，市场份额第一的，成立27年的时间，很多世界500强外企都是我们的长期客户，你们行业的绝大多数公司基本都是我们的客户
2）而且记录显示我们从哪年开始就与你们合作了，也为你们做过很多的翻译服务了，比如之前与你们**部门的**也合作的很好，只是后来由于人员变动就联系中断了，所以我们也想找机会重新开始合作就可以了"
和唐能比，我们的优势有哪些,我们是比唐能多做的，像比如说一些市场的国外这种cat log，我们从翻下来做设计排版，然后到印刷成册。因为这也是我们的业务之一。包括我们现在和帝斯曼的同事，像个人护理啊，包括一些维生素的部门都有在合作
客户否定和我们合作过，对我们印象不好有多家供应商已经比较饱和了，新增为他们的供应商很难,"1）发邮件详细说明合作项目，拉印象
2）了解具体怎么进入供应商备选"
分公司所有资料都是外国总部寄来，询问不到负责人联系方式怎么跟进,联系这家公司的其他联系人，先找到决策部门，再找到决策人
如何直接问我们和其他供应商的在量上的区别,因为我知道我们d b s基本上是除了我们就是还会有一家翻译的翻译的问的，一直在合作的。你估计是我家做的多一些，还是另外一家做的稍多一些？我们也可以有进一步的方向
当客户说我已经有供应商A，我们如何跟进？,"1）现有供应商好在1,2,3，你说的没错，我们绝对不比他们差，因为我们也有1,2,3好处
目前我们是翻译行业排名第一的，其实A这类很多就是我们的客户，转转手，收费更高，他们能做，我们也能做，能做的更多4,5,6，而且价格更低，我们核心优势长期服务大客户，有词库，句库，有高质量译员，长期服务大客户经验

2）请问一般来说一次给现在供应商多少量，大概翻译什么方面的资料，要求多少时间内完成，价格大概多少（按篇算，还是按字数算）

3）你们现在合作的公关公司是哪家，可能就是我们的客户；现在很多有的大客户要求一篮子服务，找公关公司，但最后公关公司还是找的我们"
客户为国内公司，没有翻译需求，推什么业务？,那您其他方面会有需要的吗，比如说印刷，视频译制，同传等
外文邮件看不懂,"将邮件模版英文复制粘贴到网上进行翻译,了解内容后是针对客户问题的回复,再发邮件"
抱怨跟进太频繁,"1)这种抱怨一般是客户对你不熟，熟悉的话一般不会太反感
2)对症下药，对客户电话、邮件方式上差异化，时间上差异化
3)每次变换不同的话题
4)若客户抱怨的多，可以从周边的人开始"
案例分析-冷淡客户,"通过语音语调，回答字数少，判断出冷淡客户

1）第一印象：先强调第一，历史合作案例，很熟，建立起强势

2）让客户替你打单：直接表明来意，（不用提我们人员变动）

3）用案例的方式启发客户：哪个品牌需求多，先问部门，问道部门再到问人，
技巧：停顿下，让客户多说"
