题库,试题,参考答案
翻译销售规范-印刷流程,若销售需要设计人员与客户沟通，该如何处理？,设计人员原则上不与客户沟通，若客户执意要与设计沟通的情况下，尽量以电话形式沟通，如需当面沟通，由销售主管与制作主管事先协商安排
销售-ERP下单-采购需求,"根据客户提供的PDF文件写出采购需求：
1）印刷规格等各项要求,根据样本情况使用常规规格
2）并且，由于客户没有印刷经验，客户印刷需要量也不多,只需要300份,因为是新客户,为了成单,提供阶梯报价,报价份数销售自已定
","页数:24p 
尺寸:210x285mm 
材质:封面250g哑粉、内页157g哑粉 
工艺:封面封底覆哑膜 
颜色:4色
装订:骑马订
份数:300/500/1000"
销售-ERP下单-采购需求,"根据PDF做采购需求登记
1、印刷份数1000份
2、规格根据文件看
3、纸张客户没有特别要求,按常规纸张和厚度就可以","尺寸:210*297mm
纸张:250g铜版纸,过光油
颜色：4C/4C
份数:1000份
后道:2折页"
销售-笔译-FAQ,什么是SDS文件，用途是什么?,"1、SDS英文全称为Safety Data Sheet，即安全数据表，也有翻译做“化学品安全技术说明书”，
2、它是化学品生产、贸易、销售企业按法律要求向下游客户和公众提供的有关化学品特征的一份综合性法律文件，包括了化学品组分信息、理化参数、燃爆性能、毒性、环境危害，以及安全使用方式、存储条件、泄漏应急处理、运输法规要求等方面的信息
3、SDS/MSDS的用途：海关商检、危化登记、货代报关、客户要求、国外通关、企业安全管理"
销售-笔译-FAQ,翻译文件中，若客户询问slogan是保留原文还是翻译出来好，我们该如何回复？,"1、一般外国公司的Slogan若需翻译，会请广告创意公司做“创译”，需符合公司的定位，本土习惯等，有一定的成本代价的，非普通的翻译
2、有的公司是保留，不翻译的，具体视情况而定
3、若需我们对Slogan翻译，若不额外收费，我们会尽量领会它的含意，进行翻译，可以提供1-2种翻译，客户可以根据公司定位情况再进行修改"
销售-笔译-报价,当客户的稿件比较多，是否需要分批交稿？,"1、按照以往合作的模式，给客户分批交稿
2、根据客户要求，按先后顺序分批交稿
3、若稿件已句对并开始翻译工作后，客户提出要分批交稿，我们只能按原来文件的编号顺序分批交稿，不能更换
4、若稿件是单个页数较多文件，不建议将文件拆分后分批交稿，尽量还是一起出稿"
销售-笔译-报价,当遇到采购+最终用户，在关于价格的三方跟单过程中，我们需要注意哪些,"1、不要草率的答应还价；
2、了解决策权在哪一方；
3、出费用的是哪一方；
4、多方交叉了解内部情况；"
销售-笔译-报价,收到客户需求，当统计后报价金额大于5000元时，我们应怎么做提高签单成功率？,"1、不能盲目报价，我们应先与客户沟通，增加签单成功率（先口头报价，不书面报价）
2、了解用途（是否必须）
3、交稿时间
4、预算
5、是否比价
6、签单流程
7、决策人和使用人"
销售-笔译-报价,老客户公司新联系人，报价后客户对报价疑义，该如何处理？,"1、立即跟进，不拖，避免丢单（能电话联系的，建议直接电话联系）
2、给客户介绍我们与他们公司的合作历史，与该公司其他同事的价格一致性
3、了解客户觉得疑义的真正觉因，了解客户预算，明确可行性
4、针对客户的问题，有效解决，尽快签单"
销售-笔译-报价,"客户询问怎么收费的,什么时候能完成,我们该如何回答?","您此次需要翻译的资料是哪个语种的呢?关于什么方面的?文件可以先发给我们看一下吗?

我们是按字数收费的,不同的语种,不同要求价格不一样

哦,这个我们翻译过很多啦,我们服务的很多是世界500强企业,80%的公司都和我们签了长期协议,对我们都很认可的,像XX、YY、ZZ都是由我们提供服务的,我们有非常强的译员团队,会安排专业对口的译员,而且我们还有行业内最好的数据库

您是否可以将需要翻译的资料发送给我,根据您的资料我给您具体报价和交期

您之前这类的翻译工作是怎么解决的呢?

具体什么时候需要呢?"
销售-笔译-报价,"客户说不需翻译,只要校稿,怎么收费的,我们该如何回答?","校对的费用主要取决于翻译稿的质量,所以您可以将原稿和目前已有的翻译稿一起发给我们,我们会有老师自己看译稿的质量后,就能报给您报价了
想问一下,这份资料的翻译工作是谁做的,是你们自己员工作的,还是其他供应商做的?
你们觉得质量如何?什么地方不满意,
校对的重点在哪儿?需要达到什么效果?"
销售-笔译-报价,"客户说文件中有大量的相同部分,如何计费的,我们该如何回答?","我们收费标准都是一样的,不管相不相同,我们都要经过三轮质检的,都是要费时费力的
如果您的文件中存在大段的相同,不需要我们翻译的,可以圈出来,我们不收费的,
具体您可以将文件发过来,我们先看一下"
销售-笔译-报价,"客户不认可中文字数结算,我们该如何回答?","翻译行业,英译中基本都是按中文不计空格的字符数结算的
一般英译中,英文到中文会有一定的比例关系,比如1个英文约等于2个中文,例如英文的we,是1个单词,翻译到中文是我们,是2个字符。
整个行业都是按英文单词乘以2折算到中文字符计算的。这样一开始,字符数就确定下来了,金额也明确了,哪怕实际翻译下来,如果啰嗦了,中文字符多了,也不会问客户再收费"
销售-笔译-报价,"客户说我们价位比价高,我们该如何回答?","不会啊，我们的价格并不高呀。因为我们是做翻译这一行的，每年都会作行业内的市场调查，我们在行业内肯定不高的。
您为什么会觉得我们的价格偏高呢？LV和海宁皮革城的包包价格肯定区别大了
您的量一般是多少？若您需求量大的话，会有项目折扣的。您的质量要求大概怎样的？其实质量和价格是相关的嘛
您现在有东西需要翻译吗？可以发过来，我先核算个价格，关键是看总价吗
您是否以前有过别的供应商？别的供应商情况如何？（包括价格和以前服务的评价，优劣）
字数统计上，我们按实际字符数，空格空行都不算。而其他有一些翻译公司，他们是按国家出版社规定计算的，是一页中最长行乘以最长列，空格空行都计算在内，显而易见他有30%~40%是水分在里面。
另外，他们一般是不提供扫描的，而且图形的地方还要折算成中文字另外收费，另外排版也是不做的，只是帮你文字输入，如果要排版都要涉及到额外收费的问题。排版上，我们翻译完后都是按原稿的格式排版，格式几乎一模一样，如果有图的话，我们都是扫描，而且少量图形我们都不额外收费的。"
销售-笔译-报价,"客户询问怎么收费的,什么时候能完成,我们该如何回答?","您此次需要翻译的资料是哪个语种的呢?关于什么方面的?文件可以先发给我们看一下吗?
我们是按字数收费的,不同的语种,不同要求价格不一样

哦,这个我们翻译过很多啦,我们服务的都是世界500强的企业,80%的公司都和我们签了长期协议,对我们都很认可的,像XX、YY、ZZ都是由我们提供服务的,我们有非常强的译员团队,会安排专业对口的译员,而且我们还有行业内最好的数据库
您是否可以将需要翻译的资料发送给我,根据您的资料我给您具体报价和交期

您之前这类的翻译工作是怎么解决的呢?
具体什么时候需要呢?"
销售-笔译-报价练习（陈帆）,"报价+合同录入练习9-5个WORD文件全部需要翻译，请统计报价，并录入合同

1）单价为标准价
2）分批交稿
3）录入合同时按规范操作，阅卷后再将金额改为0
4）合同对内备注请按规范要求写","稿件内容：第三届董事会2022年度第一次会议材料.doc等5个文件
页数：88页
翻译语种：中译英
数量：52617个中文字符
单价：0.280元/中文字符 
翻译金额：RMB 14733.00

交稿时间：收到您的确认后9个工作日交稿（若需要可以按要求分批交稿）。    
交稿方式：与原稿对应的Office文档，例如Word、Excel或ppt等文件（排版参照原文）   
付款时间：翻译交稿后 **30天内** 付款（1个月内，我方免费提供修改服务。上述支付日期及服务费金额不受翻译稿件是否需要我方修改之影响。）

违约责任：双方确认后，若客户方要求终止，则客户需按确认的单价承担我方已完成部分的所有费用，以及支付未完成部分费用的30％作为违约补偿。
烦请回复确认，我们会在收到您的确认后马上安排开始工作。


若有任何疑问或问题，请随时与我们联系，谢谢！"
销售-笔译-报价练习（陈帆）,"中译英,统计+报价+录入合同练习
1）以上海嘉赛信息科技发展有限公司为客户公司
2）建商机后，报价并发送邮件
3）中译英，除P9的图片外，其余页的图片也需要翻译
4）常期客户7折
5）根据报价建合同","您好 

关于您此次文件翻译工作，具体报价如下

稿件内容：TST产品推广材料.pptx
页数：21
语种：中译英
数量：   7492个中文字符数
单价：   0.196元/个中文字符数
翻译金额：RMB 1468.00
交稿时间：我方可在收到您确认后3个工作日交稿   

交稿方式：与原稿对应的Office文档，例如Word、Excel或ppt等文件（排版参照原文）   
付款时间：翻译交稿后 **30天内** 付款（1个月内，我方免费提供修改服务。上述支付日期及服务费金额不受翻译稿件是否需要我方修改之影响。）

违约责任：双方确认后，若客户方要求终止，则客户需按确认的单价承担我方已完成部分的所有费用，以及支付未完成部分费用的30％作为违约补偿。

烦请回复确认，我们会在收到您的确认后马上安排开始工作。

 
若有任何疑问或问题，请随时与我们联系，谢谢"
销售-笔译-商机跟进,"销售在电话开发时，遇到一个客户说有项目需要小语种俄语和哈萨克语的翻译服务，内容是需翻译他们公司出口到国外去的设备的说明书，据了解新公司已有供应商，此联系人不是最终决策者，但可以帮我们推荐。我们与该联系人以前的老公司发生过不少业务合作，与此联系人以前有过接触但没有合作过，现此人跳槽到一家新的能源行业的公司


请撰写一封电话跟进后的开发邮件，想办法让他帮忙推荐我们",不公开
销售-笔译-商机跟进,客户问Hazop报告翻译我们能做吗，我们该如何跟进？,"1、先在网上查一下，Hazop报告是什么？
（Hazop报告指的是一种用于辨识设计缺陷、工艺过程危害及操作性问题的结构化、系统化分析方法的分析报告）
2、一般此类报告用于化工和医药企业
3、告诉客户我们可以做，同类资料翻译经验丰富，我们质量控制优势
4、邮件素材里，或者企微素材里找些案例发过去
5、将商机七问问清楚
6、请客户把文件发过来，我们提供具体报价和交期"
销售-笔译-商机跟进,若客户提出需要母语翻译或母语润稿服务，我们在跟进时注意哪些细节？,"1、了解要求：询问客户，要之前中英文定稿稿件（看我们能不能做到这个质量水平）
2，试译：母语翻译成本较高，不提供免费试译
3，应用背景：了解客户文件的应用背景，与期望多高
4，交稿时间：因为外籍译员有时差，一般1000字左右的新闻稿至少需要2个工作日交稿"
销售-笔译-商机跟进,"客户提到暂缓的事情,我们该如何操作,能不忘记并及时提醒客户?","1、在系统联系人跟进处，设置下次跟进时间
2、新增商机，若是需长时间跟进的，可以请管理修改跟进周期和下次跟进时间"
销售-笔译-商机跟进,当报价里有多个文件，且属于客户的不同部门，这时我们该如果推进尽快确认报价？,"1、确认文件分别属于哪些需求部门
2、找到不同需求部门联系人、决策人，将报价拆分，分别确认"
销售-笔译-商机跟进,哪些情况下，我们可以向客户推荐高端的翻译业务？,"1、根据客户稿件内容推荐合适的报价
2、对外的新闻稿
3、对外的微信文章
4、高端业务的宣传手册"
销售-笔译-商机跟进,商机多少天没有签订的，我们应该安排交叉跟进？交叉跟进有什么好处？,"1、5天没有签订的商机，应交叉跟进
2、通过交叉跟进，从不同角度了解不能签单的原因，更接近真实的情况，利于及时解决问题
3、交叉跟进，能增加跟单的力度，提升企业实力的印象，加快签单速度，提高成功率"
销售-笔译-商机跟进,"客户问交货能快点吗,比较急用的,我们该如何回答?","讲到速度,其实我们是行业内几乎最快的了,我们公司的品牌名字就叫SPEED,就是速度的意思

您具体时间上的要求是?如果能给我们充足一点的时间,译员翻译的质量也能更容易控制一点

很多我们长期合作的大公司,经常会有大型的招投标文件的翻译,都非常急的,而我们总是可以在很短时间内去完成翻译工作,举个例子,我们最近做的地铁项目,一个招投标标书大概600页,基本上我们一个星期就完成了,这放到行业内其他公司是绝对不可能搞定的,因为我们的ERP系统非常先进,能支持的非常好"
销售-笔译-商机跟进,"客户问资料翻译,能快点吗,比较急用的,我们该如何回答?","讲到速度,其实我们是行业内几乎最快的了,我们公司的品牌名字就叫SPEED,就是速度的意思。
您具体时间上的要求是?
如果能给我们充足一点的时间,译员翻译的质量也能更容易控制一点。
很多我们长期合作的大公司,经常会有大型的招投标文件的翻译,都非常急的,而我们总是可以在很短时间内去完成翻译工作
举个例子,我们最近做的地铁项目,一个招投标标书大概600页,基本上我们一个星期就完成了,这放到行业内其他公司是绝对不可能搞定的,
因为我们的ERP系统非常先进,能支持的非常好"
销售-笔译-商机跟进,英译中，客户签合同时发现以中文字数结算，认为有问题，我们该如何说服客户,"1)如果客户是比较计较的，事先要做好功课，控制报出去的中文字数
2)这个行业有两种算法，一种算法呢是按照以前出版社的标准，拿文件里面的最长行乘以最长列计算的。第二种算法是按照word里面工具--字数统计（不计空格），我们是按照第二种算法的。翻译是按照字数来计算费用的，标准做法其实是按照第一种算法的，但是我们采取的是第二种，对您来说已经是很划算的了。
3)其实字数统计中有一些字数的偏差也是正常的，有时候我们亏一些，有时候你们会亏一些，但是从平均来看其实是差不多的，因为我们做的都是长期客户，长期来看都差不多的，而且这个行业也是这样做的。哪怕这次亏了没关系，按照概率来说，总归会有高有低的，因为没这么准的。
4)按照翻译行业，我们都是按照中文字数去结算的，如果说您按照最后的以实结算的话，对于我来说，因为我是销售，我无所谓的，但是问题是有一点我们会容易失控，为什么呢，因为同样一句话你知道可以这样翻，也可以那样翻，翻出来的字数不一样的。如果下订单的时候以实结算的话，最后很有可能会发生一件事，记过几轮翻译，校稿，审稿之后，大家都知道这批稿子是以实结算的，所以都会罗嗦一点。你说他错吗，没错，只不过不大精炼罢了，那多了10%-20%是很正常的事情，那这样的话会对你整体质量有点影响，所以你想把这个因素，让这种潜在的、危机的因素放在那边吗，所以一般来说我们建议客户都定好量，大家做干净，就按照这个字数算。因为这个事没办法的，翻译毕竟是人翻的，政策不一样会导向他做不同的事，这也是没办法的事，当然我可以要求生产部精炼一些，但是这就不是我能控制的事啦。这也是行业的特点，行业里都是这样做的，所以一般行业里面的公司，处理英译中的稿件，基本上是事先定好的，否则后面很有可能字数一下子偏多，甚至远超你的预算，这时候，作为我来说就有点不好意思了。当然我们公司会比其他公司做的好一点，因为我们有译校审三轮，哪怕第一轮翻译的罗嗦了，后面会改的精练一点，第三轮也会改的更精练一点，但是，如果基础做的比较庞大一点的话，后面修改后还是会比较大的，这也不是我能够控制的了，如果时间紧的话，可能会有些麻烦。"
销售-笔译-商机跟进,目前客户有10万字的中译英，以前和我们合作过，此次项目有其他供应商介入，且价格比我们低，我们可以如何说服客户,"1）前两天把我们的报价发给你了，不知道你看到了吗？那您看下来现在这个价格有什么问题吗？其实您很有眼光的，我们确实是做的最好的。我想请问一下，您这次翻译的资料是哪一方面的？化工我们做的太多了，因为我们主要的最大的一个行业就是化工。像BASF，BAYER，HENKEL，DOW，都是指定用我们的翻译服务的。像您这样的技术手册，我们基本上每天都在翻译的。质量肯定是没有问题。像您现在这个项目有什么心理预期呢？
2）我们做这个行业已经10多年了，一直做市场调查的。我们的价格不是最低的，也不是最高的，当然外面价格比我的低的也有，像之前DSM也做过类似的项目，找过一家价格比我们低的供应商，最后翻译出来后发现很多的问题，还要重新做。最后不得不联系我们，价格付了两遍，和我们联系的客户也被老板批评了。
3）其实我们和您合作了那么多年一直是这个价格呀，不知道您这次怎么会觉得我们价格贵呢？
4）您以前用过他们推荐的供应商吗？其实我们要在同一水平线上去比较对哇。
5）一般我们服务的都是**类型的公司，像这样的公司首先看的都是品质，第二看性价比，比如像你们行业里面，第一家**，我们已经长期合作8年了，第二家**，我们每年和他们签订长期协议，都签了N年了，第三家**采购每年都要做供应商询价，但每年我们都把别人搞定的。第四家他们选择了4家供应商，但在4家里面，我们拿了80%的市场。为什么呢？因为我们的品质是完全符合你们这类型的企业的。你们也是首先要考虑这些的，对吗？第5家，我们一年和他们合作有100万的业务量，第6家我们上周刚完成一个类似的项目，我们在这个行业做了17年了，我们每年都会做市场调查，我们的价格不是最便宜的，但质量是整个行业最好的。所以我们既能满足您的质量，价格也是很公道的。
6）您看您和我们交情也那么深了，合作那么久，刚才您提到是您老板觉得价格有点贵，今天我们也过来了，不知道方便引荐一下你们老板吗？
7）之前提到很多公司都选择我们的，这些公司不要太聪明哦，采购都不要太厉害哦，采购比较了一圈下来，还是觉得我们的性价比是最好的，也是最匹配他们这个级别公司的服务供应商，所以说选择我们。所以你看我们的性价比有多好呀！！！既然这么多公司都选择我们，你为什么觉得我们性价比不好呢？"
销售-笔译-商机跟进,客户目前有10万字中译英，需要加急，5个工作日交稿，我们该如何说服客户拿下这个订单,"1）是这样的，我们公司针对您这次项目，我们的项目经理会首先进行分析研究分类，技术的归技术，合同条款类进行细分，技术的找技术团队，合同找合同的团队，首先确保分人分到位，第二我会通知生产部，因为您这个项目很急，我们根本没时间周转，如果分类错了后面肯定来不急的，同时如果有个人不行，到后面也肯定来不急，所以我们会让生产部找最好的人。
2）因为我们是大公司，所以我们的译员库是最大的，很多译员海是在公司工作的，所以说我们针对这样的大项目，翻译上午翻得东西，马上就可以去校稿，下午就可以去审稿了，时间差最长半天。其他公司的肯定没办法操作的。
3）因为您这边比较急，我们这边好了一部分就可以交给您了，同时您有问题立刻反馈，我们立刻修改，是什么方面的问题针对性的解决，如果是词汇，您列个词汇清单给我们，您发传真给我们，后面我们就有参照。这样一定会节省大量的时间。
4）我们的项目经理会找到一段典型代表的一段文字进行预翻，作为翻译的参考，而后同步发布给翻译部，立即开始工作。
5）我们有项目经理，针对大的项目很会整理词汇，您这次300业的资料我们会很快的整理出词汇清单，导入到我们的ERP系统当中，同事打印出来给翻译部，在翻译的时候系统有个校对的工作，看同样的词汇有没有用，是不是这样翻得。我们的项目经理经验都非常丰富，放心肯定没问题的。"
销售-笔译-业务介绍,请列出要点：我们曾经做过的，展现我们的质量、速度都得到客户认可的4个大项目,"1）招投标项目
2）贝尔阿尔卡特2000页项目
3）气体行业客户的项目
4）医疗行业客户的FDA认证"
销售-笔译-业务介绍,"请列出要点：体现我们“尤其擅长大型工程技术项目的翻译”
要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可","1）尤其擅长大型工程技术项目和金融、法律等高端商务项目的翻译
2）为客户建立专业词汇库
3）源于交大,有非常强大的工程技术背景
4）专业对口的翻译去做
5）翻译、校稿、审稿三轮
6）计算机预处理和AI质检
7）AI派件
8）质量排名"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1）表明来意，突出最大、第一
2）合作历史，部门、联系人和业务
3）了解客户部门，询问如何解决
4）了解客户目前供应商情况，同时我们也在供应商系统
5）了解目前采购负责人
6）通过介绍案例，了解客户目前注册部动向
7）根据客户需求，再介绍案例
8）发送邮件
9）了解客户系统供应商情况
10）了解是否必须走供应商系统，还是可以报销
11）了解客户的翻译量
12）我们公司速度优势
13）口译介绍和优势
14）请客户帮忙推荐，询求合作"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1）规模最大，份额第一
2）合作的客户，医药服务领域
3）翻译团队、管理流程、行业细分
4）专业词库
5）与客户公司合作历史
6）口译、视频译制业务
7）了解其他供应商、招标标准
8）与其他医药公司的合作"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1）电话表来意
2）公司简介
3）ERP特点
4）医药合作公司
5）口译案例和优势
6）多媒体案例和优势
7）提供小段案例，尝试小订单合作
8）了解有几家供应商
9）多个供应商优势
10）了解供应商合作情况
11）了解供应商合作情况
12）质量控制优势
13）FDA谁负责
14）加微信
15）发邮件"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1）感谢客户，表明收到邮件
2）合作年限，拉近距离，表明沟通招标意图
3）了解招标是部分部门还是整个公司
4）通过医药和器械划分介绍，继续探询客户招标意图
5）通过我们的优势和成功案例，进一步了解客户的关注点
6）了解招标的原因，挑选供应的标准
7）通过性价比，了解客户决策流程，往方面提升更满意
8）通过不同公司的年量案例，探询客户的年量
9）发邮件
10）约客户拜访
11）再讲公司优势，提升约访成功率"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1）清楚表明来意
2）公司简介和客户合作历史
3）业务介绍和优势
4）与医药公司的具体合作
5）了解历史招投情况
6）了解选择几家供应商
7）了解客户年量
8）通过我们成功案例，了解客户公司需求部门
9）了解选择中标供应商的流程
10）价格和质量综全我们是最优选择
11）了解客户选多地供应商还是一地，介绍我们的多地服务优势
12）了解要求应标时间和是否有其他筛选过程
13）了解客户笔译和口译都需要
14）视频译制介绍和优势并推广"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1.说明来意
2.合作部门及业务概述
3.重点合作介绍
4.需求询问
5.近期与不同部门的合作
6.向客户了解之前销售额排名靠前的联系人情况
7.通过同公司其他部门反馈引出公司优势
8.介绍不同级别译及小语种翻译服务及案例
9.询问邮箱
10.添加微信"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","话术要点
1.合作年限
2.公司优势
3.合作历史
4.笔译合作历史及优势
5.口译合作历史及优势
6.印刷合作历史和优势
7.翻译制版印刷一体化优势
8.近期合作介绍
9.需求询问"
销售-常见场景录音实战,罗列电话开发的话术要点：尽量全面，体现价值，有说服力,不公开
销售-常见场景录音实战,罗列开发步骤：涵盖整个开发过程,不公开
